"sample_name"	"sample_title"	"organism"	"collection_date"	"env_broad_scale"	"env_local_scale"	"env_medium"	"geo_loc_name"	"host"	"lat_lon"	"chem_administration"	"host_age"	"host_disease"	"host_sex"	"host_tissue_sampled"	"samp_collect_device"	"description"
"M11"	"M11_negative control_Control"	"cloacal metagenome"	"1/1/2020"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"Control"	"none"	"female"	"cloacal swab"	"sterile swab"	"negative control_Control"
"M110"	"M110_0 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_60 weeks"
"M111"	"M111_75 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_50 weeks"
"M112"	"M112_75 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_50 weeks"
"M113"	"M113_25 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_40 weeks"
"M114"	"M114_25 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_50 weeks"
"M115"	"M115_0 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_50 weeks"
"M116"	"M116_0 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_40 weeks"
"M118"	"M118_0 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_40 weeks"
"M119"	"M119_0 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_60 weeks"
"M12"	"M12_0 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_60 weeks"
"M120"	"M120_0 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_50 weeks"
"M121"	"M121_0 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_50 weeks"
"M122"	"M122_0 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_40 weeks"
"M123"	"M123_0 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_40 weeks"
"M124"	"M124_0 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_60 weeks"
"M125"	"M125_50 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_40 weeks"
"M126"	"M126_0 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_40 weeks"
"M127"	"M127_50 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_60 weeks"
"M128"	"M128_0 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_50 weeks"
"M130"	"M130_0 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_40 weeks"
"M131"	"M131_0 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_40 weeks"
"M133"	"M133_0 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_40 weeks"
"M134"	"M134_75 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_40 weeks"
"M135"	"M135_0 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_60 weeks"
"M136"	"M136_75 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_60 weeks"
"M137"	"M137_75 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_60 weeks"
"M138"	"M138_75 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_60 weeks"
"M139"	"M139_75 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_60 weeks"
"M140"	"M140_0 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_60 weeks"
"M142"	"M142_75 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_50 weeks"
"M143"	"M143_75 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_60 weeks"
"M144"	"M144_0 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_50 weeks"
"M145"	"M145_0 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_50 weeks"
"M147"	"M147_mock community_Control"	"cloacal metagenome"	"1/1/2020"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"Control"	"none"	"female"	"cloacal swab"	"sterile swab"	"mock community_Control"
"M148"	"M148_negative control_Control"	"cloacal metagenome"	"1/1/2020"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"Control"	"none"	"female"	"cloacal swab"	"sterile swab"	"negative control_Control"
"M18"	"M18_50 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_60 weeks"
"M19"	"M19_50 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_60 weeks"
"M2"	"M2_75 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_40 weeks"
"M20"	"M20_25 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_40 weeks"
"M21"	"M21_25 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_50 weeks"
"M22"	"M22_75 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_40 weeks"
"M23"	"M23_75 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_40 weeks"
"M24"	"M24_75 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_60 weeks"
"M25"	"M25_75 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_60 weeks"
"M26"	"M26_50 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_50 weeks"
"M27"	"M27_50 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_50 weeks"
"M28"	"M28_75 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_40 weeks"
"M29"	"M29_75 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_40 weeks"
"M3"	"M3_25 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_40 weeks"
"M30"	"M30_50 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_60 weeks"
"M31"	"M31_50 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_60 weeks"
"M32"	"M32_75 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_50 weeks"
"M33"	"M33_75 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_50 weeks"
"M34"	"M34_75 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_40 weeks"
"M36"	"M36_75 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_40 weeks"
"M4"	"M4_75 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_50 weeks"
"M41"	"M41_50 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_40 weeks"
"M42"	"M42_50 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_60 weeks"
"M43"	"M43_50 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_60 weeks"
"M44"	"M44_75 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_50 weeks"
"M45"	"M45_75 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"75 mg/kg metformin_50 weeks"
"M46"	"M46_50 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_40 weeks"
"M47"	"M47_25 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_40 weeks"
"M48"	"M48_25 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_60 weeks"
